iter	Passed	Remaining
0	1	148
1	2	128
2	3	121
3	4	118
4	6	115
5	8	134
6	9	130
7	11	126
8	12	124
9	13	121
10	14	117
11	15	114
12	16	111
13	17	109
14	19	107
15	20	105
16	21	103
17	23	108
18	26	111
19	27	111
20	29	109
21	30	108
22	31	106
23	33	105
24	34	104
25	35	101
26	38	103
27	40	103
28	41	101
29	42	99
30	43	97
31	44	95
32	45	93
33	47	91
34	48	89
35	49	87
36	50	85
37	51	84
38	52	82
39	53	80
40	55	79
41	56	77
42	57	76
43	58	73
44	59	72
45	60	70
46	61	69
47	62	67
48	63	66
49	64	64
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	80	47
63	81	46
64	83	44
65	84	43
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	96	30
76	97	29
77	98	27
78	98	26
79	99	24
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	109	14
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	124	0
