iter	Passed	Remaining
0	122	122563
1	130	64903
2	132	43938
3	134	33489
4	135	27058
5	138	22875
6	139	19803
7	140	17478
8	142	15672
9	143	14222
10	145	13119
11	147	12133
12	148	11291
13	149	10564
14	152	9987
15	153	9429
16	154	8930
17	155	8486
18	156	8093
19	158	7763
20	159	7436
21	160	7133
22	161	6859
23	162	6607
24	163	6374
25	164	6159
26	166	5984
27	167	5799
28	168	5627
29	169	5466
30	170	5315
31	171	5174
32	172	5041
33	173	4917
34	174	4802
35	175	4694
36	176	4588
37	177	4488
38	178	4394
39	179	4303
40	180	4218
41	181	4137
42	182	4071
43	183	3996
44	184	3924
45	185	3855
46	186	3789
47	187	3726
48	189	3673
49	190	3616
50	191	3560
51	192	3507
52	195	3494
53	197	3468
54	199	3421
55	200	3376
56	201	3331
57	202	3293
58	203	3249
59	204	3207
60	205	3165
61	206	3126
62	211	3140
63	212	3103
64	213	3067
65	214	3034
66	215	2999
67	216	2965
68	217	2938
69	218	2906
70	219	2875
71	220	2845
72	222	2819
73	226	2829
74	227	2804
75	228	2783
76	230	2763
77	231	2739
78	232	2715
79	234	2691
80	236	2684
81	240	2689
82	241	2669
83	242	2647
84	243	2625
85	245	2604
86	246	2586
87	247	2565
88	248	2547
89	249	2527
90	251	2507
91	252	2488
92	256	2504
93	257	2485
94	258	2467
95	260	2448
96	261	2430
97	262	2416
98	263	2400
99	264	2382
100	265	2365
101	266	2349
102	269	2348
103	271	2338
104	272	2322
105	273	2307
106	274	2291
107	276	2281
108	278	2274
109	279	2262
110	280	2248
111	282	2241
112	284	2235
113	285	2221
114	287	2213
115	288	2201
116	289	2185
117	290	2172
118	291	2160
119	293	2150
120	294	2140
121	295	2130
122	298	2127
123	300	2122
124	301	2110
125	302	2099
126	303	2086
127	305	2083
128	306	2071
129	307	2060
130	312	2075
131	314	2065
132	315	2054
133	316	2043
134	317	2032
135	318	2024
136	320	2016
137	321	2005
138	322	1995
139	323	1985
140	327	1995
141	328	1983
142	329	1974
143	330	1964
144	331	1955
145	333	1950
146	334	1940
147	335	1930
148	336	1921
149	337	1912
150	339	1906
151	342	1913
152	343	1903
153	345	1896
154	346	1889
155	347	1881
156	348	1872
157	349	1863
158	350	1855
159	351	1847
160	352	1837
161	353	1829
162	355	1827
163	357	1822
164	358	1814
165	359	1806
166	360	1798
167	361	1790
168	362	1782
169	364	1777
170	365	1771
171	366	1765
172	371	1775
173	372	1769
174	374	1765
175	376	1762
176	377	1756
177	378	1750
178	380	1745
179	385	1758
180	388	1758
181	389	1751
182	391	1747
183	392	1742
184	394	1737
185	395	1730
186	396	1723
187	399	1723
188	402	1726
189	403	1719
190	404	1713
